      Unnamed: 0                                                        product_name product_price     weight            category                EAN date_added                                  uuid          removed product_code
238          238                                          Peppa Pig Plush Family 4pk        £20.00        0.5      toys-and-games       189081424230 1997-01-27  a7ecd514-cab3-4d01-8db6-4a3005a3a0a8  Still_avaliable  T6-2549617J
1755        1755                              Oreo Festive Favourites Selection 170g         £2.00       0.17      food-and-drink      3789164840949 1997-02-05  1c161d91-6c46-4b9d-bfbf-da0d4a34a5cc  Still_avaliable  v2-1746426L
1571        1571                      Palmolive Natural Soap - Moisture Care 3 x 90g         £1.00    3 x 90g   health-and-beauty      1692944856882 1997-02-19  d109ec4d-6f3e-4520-b78a-b34a32fd8f1e  Still_avaliable  c8-1525632E
1519        1519                                Geo Microplush Rug 60 x 110cm - Grey        £12.00       0.52            homeware      8238370440863 1997-02-22  4dc0042f-9054-4be8-98f8-b307a3b6d5c4  Still_avaliable   T0-077728Q
374          374                            Purina Go-Cat Food - Herring & Tuna 750g         £1.99       0.75                pets      4392343551834 1997-03-02  f356cf20-aa46-42c3-8c11-8f281b709a04  Still_avaliable   g9-243795T
170          170                                             100 Classic Board Games         £6.99      0.687      toys-and-games      7802573557553 1997-03-03  b5324d51-0c5b-4635-b088-5581ff9f1cc4  Still_avaliable  P7-1448999g
1563        1563                     Just Balmy 2D Barratt Sweet Treats Lip Balm Set         £4.00     3 x 2g   health-and-beauty      9828103898017 1997-03-11  68e38307-42c5-4e3f-a27f-f32d05f9a637  Still_avaliable  Z7-8693140R
1766        1766                               Me to You Chocolate Rose 18g - Purple         £1.00      0.018      food-and-drink       571681624873 1997-03-14  d10f0bb5-f0e2-4895-b8ee-75e580cc116a  Still_avaliable  I6-9756324l
2              2                                 Tiffany's World Pups Picnic Playset         £7.00       0.59      toys-and-games      1945816904649 1997-03-29  b089ef6f-b628-4e37-811d-fffe0102ba64  Still_avaliable  S7-1175877v
612          612                                          Pink Pampas in Ribbed Vase         £5.00       0.38            homeware      7269501648903 1997-03-31  154172e0-6f85-4573-888a-a3ba10642a59  Still_avaliable  I6-9082161W
1084        1084                                               Shell Cushion - Blush        £10.00       0.49            homeware       974336664505 1997-04-03  bcfd864d-fae3-4f6d-9742-0b2bc99062d6  Still_avaliable  T9-6275187s
1476        1476                       Nescafe Dolce Gusto Piccolo XS Coffee Machine        £30.00        2.7            homeware      4961753967278 1997-05-14  d49d7008-ea2e-4351-8df7-0db3192677a9  Still_avaliable   Q5-742565f
1595        1595                                  Milkybar Gold Bar (Australia) 170g         £2.99       0.17      food-and-drink      5882679481961 1997-05-19  b28565b0-d743-46c8-9e7e-c8a7aae04f81  Still_avaliable  D6-8341582b
1587        1587                           Cadbury Caramel Twirl Limited Edition 43g         £0.69      0.043      food-and-drink      9414242308618 1997-05-19  9fc4910a-8339-4a80-9bc2-e89efdc34ec4  Still_avaliable  k6-0115797g
205          205                                            Zuru Oosh Slime - Silver         £3.99       0.42      toys-and-games      6008943424284 1997-05-20  bd93ad70-3572-45b8-af51-a62924472e5d  Still_avaliable  M8-9983940q
610          610                              Ribbed Ceramic Tealight Holder - Cream         £3.00       0.25            homeware      4704368450366 1997-05-25  947f7855-1bc1-496e-9650-4dfe3ccc6686  Still_avaliable  R9-3873198J
308          308                    Pets Pantry Complete Meaty Chunks Chicken 2.75kg         £3.69       2.75                pets       836248634543 1997-06-05  2c143250-13af-4e3b-9842-44191bdc081b  Still_avaliable  U4-1666619v
577          577                   Fast Traxx Pro Performance Executive Chair - Grey        £65.00       12.8            homeware      4954299316907 1997-06-16  6180ea53-f9a4-42b9-9fcc-700d14cc85ac  Still_avaliable  h3-9899745w
188          188                                          Zuru X-Shot Skins Flux 2pk        £12.99        0.6      toys-and-games      1745656693457 1997-06-23  b95e8fa0-47fa-491e-9101-aab410d0a4b3  Still_avaliable  u4-5557934h
1623        1623                                   Skittles Squishy Cloudz Sourz 94g         £1.00      0.094      food-and-drink      9819513525730 1997-07-09  0a93ccf4-efba-488e-afe5-3cde19129da1  Still_avaliable  v4-3504927i
1747        1747                                      Quality Street Chocolates 240g         £2.00       0.24      food-and-drink      9492762524756 1997-07-26  8e3a2dc7-c46b-433d-a42e-dba119457066          Removed  g2-7476822R
454          454                                         Botanist Wall Shelf - Black        £10.00        0.5            homeware      8955579011679 1997-08-04  6210ed42-9008-4356-91bc-53acb65dddd7  Still_avaliable  m8-4389961u
1283        1283                          Elle Quilted Stitch King Duvet Set - White        £30.00        1.7            homeware      6605557884321 1997-08-06  eef6655e-6c8b-48d4-bb18-4c6fc493380e  Still_avaliable  C4-9862972R
1781        1781                                  Terry's Chocolate Orange Minis 95g         £1.00      0.095      food-and-drink      1980755325827 1997-08-15  a22ad12d-414d-4077-8664-180674808d39  Still_avaliable  m1-7181676s
1459        1459                           Kent Woven Blackout Panel 54 x 86" - Navy        £25.00       1.56            homeware      9121261722553 1997-08-23  0be606f6-8341-41e8-b689-62a3a0e1d0f6  Still_avaliable  e2-4782999e
1810        1810                                  Batchelors Savoury Rice Golden 90g         £0.69       0.09      food-and-drink      5702981658380 1997-08-25  c4f02da6-8b3a-4c42-b3a0-6ae8ff9d97b1  Still_avaliable  d0-8648918m
1607        1607                              Swizzles Sweetshop Favourites Box 324g         £1.99      0.324      food-and-drink      2071947835992 1997-09-15  3b5883ff-9f98-4b20-992d-baf41a8158c8  Still_avaliable  S6-8585781P
92            92                       Kaleidoscope Sticker Mosaics - Wild Creatures         £2.25      0.419      toys-and-games      8716535412394 1997-09-17  7c884474-e194-4fc9-ae32-434e263b49dd  Still_avaliable  b9-7042914O
453          453                                    Lokken Display Wall Shelf - Grey         £7.00        4.1            homeware      5649482612247 1997-09-18  80f3960b-772f-4594-b27e-bca677d189f7  Still_avaliable  u1-0285146Z
1250        1250                                                Pampas in White Vase        £20.00       0.85            homeware      3120102145960 1997-09-22  16e95d6f-02a0-4bcb-90fe-43b6462b3bb8  Still_avaliable  E3-3054058e
314          314                                          Misfits Scruffy Bites 180g         £1.29       0.18                pets      8847532294932 1997-10-20  38a69dc5-7af9-41eb-bde3-de4189b57d40  Still_avaliable  t1-9172271B
363          363                         Fisherman's Dog Treats 100g - Salmon Sticks         £1.99        0.1                pets      6749122475603 1997-11-13  46860267-9570-4bf3-ac82-6c1b60f26a27  Still_avaliable  T4-1104968U
1809        1809                                 King Pot Noodle Bombay Bad Boy 114g         £1.10      0.114      food-and-drink      4264393663914 1997-11-27  a0009479-ec5c-45e7-acb5-39b05dc2387a  Still_avaliable  e7-6626248N
1469        1469                            Cambridge Blackout Panel 54 x 86" - Navy        £15.00        0.8            homeware      2192177158283 1997-12-17  5d6a07d9-b797-4430-b975-8766a0f3faed  Still_avaliable  z0-0968184U
1735        1735                                         McVities Family Circle 310g         £1.50       0.31      food-and-drink      2697213264817 1997-12-20  3a2374c1-afc2-4723-99e3-4f7663f40479  Still_avaliable  o2-9826741R
628          628                                        Ceramic Ribbed Candle - Pink         £5.00       0.17            homeware      7618199141218 1997-12-28  176b5cca-4c5e-4efc-88e2-d3c5325302f7  Still_avaliable  J9-6569462L
1579        1579                          Munchies Caramel & Biscuit Sharing Bar 87g         £1.00      0.087      food-and-drink      6147637162160 1998-01-05  99f105fc-3f2f-4976-8627-5d13f9d86299  Still_avaliable   v9-289427C
970          970                                   Lokken Floating Shelf 100cm - Oak        £15.00        2.9            homeware      3067942155387 1998-01-14  ee2cbf92-da8b-48b6-8563-5367fafd17ce  Still_avaliable  V8-9219814i
1124        1124                                                Framed Candle Holder         £4.00      0.163            homeware      1101313950712 1998-01-23  bb7c5663-f553-4aea-a865-f2a9e437fead  Still_avaliable  o3-4937866a
1179        1179                         Lokken 9 Cube Shelving Unit & Baskets - Oak        £50.00       19.8            homeware      7252059532152 1998-01-25  ce9de2d9-cbab-43c7-8c19-9b8d1639fe3c  Still_avaliable  v8-2312531z
567          567                          Spaceways Padstow Metal Coat Stand - White        £22.00        3.2            homeware      8836663590556 1998-02-06  84b32ab6-d5af-40ee-847a-d1a959d36231  Still_avaliable  f2-2937979N
1419        1419                                           Jewellery Box - Dragonfly         £4.00        0.1            homeware      8530074050196 1998-02-12  c449aff4-b40e-4bfb-9d9b-c72b0d81f83d  Still_avaliable  J9-7225362H
1650        1650                            Fox's Festive Snowman Selection Tin 350g         £5.49       0.35      food-and-drink      6661077621945 1998-02-13  a2ebcd6d-d33d-4fd2-bbe0-0658f10936b9  Still_avaliable  p3-8255007q
1617        1617                  Zed Candy Mixed Case Minis Jelly Beans 50g - Green         £1.00       0.05      food-and-drink      2417405803354 1998-02-15  b23c9ba6-3acf-4dac-939a-033135f9b168  Still_avaliable  i0-4774246l
157          157                                    LEGO Marvel Miles Morales Figure        £17.99        0.3      toys-and-games       966690818953 1998-03-02  ca99a328-4f07-4ffa-af36-454bc4e3072d  Still_avaliable   N4-404353y
753          753                                 Maine Bathroom Storage Unit - White        £18.00        3.4            homeware        26776112990 1998-03-08  d3264308-02b2-4e40-9bb6-27d2d24dcaf9  Still_avaliable  P3-5029437M
875          875                                       Teddy Rug 100 x 150cm - Cream        £45.00        2.7            homeware      2907494185573 1998-03-10  24135ddc-009f-4eed-83e1-6d2b74402eb3          Removed  Y0-4132019C
878          878                                        Buddy Rug 80 x 120cm - Black        £30.00        2.2            homeware      5760830357334 1998-03-18  37983d68-78e6-4941-a20e-d84d9a9b0d85  Still_avaliable   X3-590395p
1466        1466                            Cambridge Blackout Panel 54 x 86" - Grey        £15.00        0.8            homeware      2669453670703 1998-04-11  ebc1309b-d8ee-4e83-943b-11cfcf454204  Still_avaliable  R8-6098453q
1203        1203                        Urban Paradise 3 Tier Ladder Shelf - Natural        £30.00        6.2            homeware      3626030009232 1998-04-13  67adad46-7975-437f-8130-23d08ceb2f73  Still_avaliable  I9-1517877U
35            35                                      Kaleidoscope Ultimate Etch Art        £12.99     1.3625      toys-and-games      7288221705307 1998-04-20  c7d2dd97-2127-4763-99a6-194cc2c2cc60  Still_avaliable  Z6-5998255Z
1410        1410      Natural Home Scented Candle with Cork Lid - Amber & Sandalwood         £3.00      0.226            homeware      8900714543928 1998-04-22  99ac5f6e-f373-4609-bd5c-12bc7da0195e  Still_avaliable  f5-4662947V
546          546                                Candle with Foliage - Let's Get Cosy         £4.00       0.27            homeware      6981345700012 1998-06-14  505bd424-8bea-4486-b3ef-4f9aac26439d  Still_avaliable  I2-8497896t
548          548                                     Candles with Wreath 2pk - Acorn         £5.00       0.06            homeware      3190749338551 1998-06-24  f411335e-d509-4b72-b1d1-6b9227db1d5f  Still_avaliable  L3-0364605u
1702        1702                                            Princes Corned Beef 200g         £0.50        0.2      food-and-drink      4768782290397 1998-06-30  8835a028-9902-4b61-b3f7-0c3761a809bb  Still_avaliable  r5-5131443T
787          787                        Really Useful Nestable Storage Boxes 41L 3pk        £55.00        7.8            homeware      4729868323491 1998-07-01  5a3fbd68-fd37-4758-9965-cb49def159f6  Still_avaliable  u8-8403007a
858          858                                        Foldable Dinostar Moon Chair        £18.00        1.8            homeware      9831524333883 1998-07-06  c1c941fd-0818-4ce9-9268-6fa0631e6f3a  Still_avaliable    r3-37753L
1007        1007                                        Michigan 4 Tier Storage Unit        £18.00        2.0            homeware      5328292727197 1998-07-24  2c2785c5-37a0-4b53-9a54-3d307dc85af2  Still_avaliable  S2-0127828g
323          323            Happy Sushi Rolls Dog Treats 112g - Fish, Rice & Seaweed         £2.50      0.112                pets      8601122925312 1998-07-27  383479a0-aadc-4093-9d2a-b3f9e4836b0b  Still_avaliable  H9-2399444f
1159        1159                                               Tromso Triangle Shelf         £7.00      1.071            homeware      1610097800798 1998-07-27  2c93083c-0464-4ee3-a4d5-49b4cb83d852  Still_avaliable  e8-5166869j
668          668                                                     Terracotta Vase         £8.00       0.54            homeware      2710181213721 1998-07-30  5d90e2a7-0150-411b-b702-0faaedbe6b17  Still_avaliable   r9-480686E
1436        1436                                        Maine Under Sink Unit - Grey        £35.00        9.4            homeware      7401774905325 1998-08-13  fa3d71d0-cac0-4b7e-bfcc-c774c98811e8  Still_avaliable  O9-3318518n
609          609                                           Small Donut Candle Holder         £4.00       0.23            homeware      3102827791684 1998-08-15  a348d720-984c-4ec8-925a-45333150094c  Still_avaliable  l8-8853507Q
415          415                                          Tromso Narrow 2 Tier Shelf        £15.00        1.8            homeware      8178729139850 1998-08-21  9a18e6be-8ec8-4f58-8183-5241b31993d2  Still_avaliable  F1-6037791p
738          738      Versailles Silver Crushed Velvet Fully Lined Curtains 66 x 90"        £39.99       3.45            homeware      1474934222064 1998-08-30  729052e6-755f-446f-a056-decd8966cf69  Still_avaliable  C5-9527593B
1768        1768                              Hamlet Belgian Chocolate Truffles 150g         £2.00       0.15      food-and-drink      6125584448193 1998-08-31  8856b213-6418-4c0c-921f-bf0146f08c66  Still_avaliable  r3-6209763o
784          784                      Really Useful Nestable Storage Boxes 10.2L 3pk        £22.00        2.4            homeware      5917737572579 1998-09-05  366d9e29-cf5a-4cc6-ac8e-922d1a21c1e4  Still_avaliable   G0-014884S
1705        1705                                             HP Honey BBQ Sauce 465g         £2.00      0.465      food-and-drink         8233540096 1998-09-09  b16c13c7-bcfd-4a3c-bd78-70384e787a6d  Still_avaliable  f2-8607281D
1541        1541                        Vanilla & Amber Bath Fizzer 130g - Spaceship         £1.00       0.13   health-and-beauty      3003886851572 1998-09-10  2c11f938-60e4-4d0a-8763-77d6fb57ccd3  Still_avaliable  p8-7659384B
149          149                               Disney Pixar Cars Racing System Track        £19.99        1.4      toys-and-games  22225010240729109 1998-09-10  c268343b-4c76-4080-881e-1e1f5d695d80  Still_avaliable  L7-4325310J
199          199                      WWE Elite Collection Mustafa Ali Action Figure        £13.99      0.258      toys-and-games      9824488597286 1998-09-12  3ed1fc25-a188-4f20-bdf3-30c95f223f57  Still_avaliable  l8-4647519R
379          379                                  Purina One Cat Food - Chicken 800g         £4.29        0.8                pets      4614695154656 1998-09-13  d116bf64-6e2f-4e4c-91de-bdf5d9a3e72f  Still_avaliable  Q3-4565736d
344          344      Scooby Snacks Scrappy-Doo Mini Soft Bites 200g - Peanut Butter         £1.50        0.2                pets      5726772814090 1998-09-21  1732c291-4010-44d2-aefe-fad60a094d9f  Still_avaliable  i2-0963345M
793          793                              Lexi Microplush Rug 110 x 160cm - Grey        £20.00       1.76            homeware      8266380016976 1998-09-22  51c7c4a5-33fe-4624-9243-8ad4056fcef6  Still_avaliable  e0-8956715V
1372        1372                                    Teddy Rug 100 x 150cm - Charcoal        £45.00        2.7            homeware      2707693381543 1998-10-01  3d7ef7f1-2c6b-44db-a729-833556563963  Still_avaliable  q6-0257852z
1495        1495                                        Slush Puppie Slushie Machine        £35.00       2.14            homeware      6634933623940 1998-10-06  a2cbf605-fe16-4b10-b858-fac20618d1fd  Still_avaliable  u5-1634344W
278          278                                          Marvel Avengers Artist Pad         £2.99       0.48  sports-and-leisure      9741976330234 1998-10-13  c7bdc9d1-9412-492e-9816-735689e1add8  Still_avaliable  E5-3162848k
1244        1244                                                        Face Planter         £5.00      0.615            homeware      3348549108052 1998-10-23  e4ef29fd-c24c-4967-ae42-446174fcc804  Still_avaliable   H4-041505k
632          632                                                    Donut Style Vase         £6.00      0.335            homeware      6836722687717 1998-10-30  f25b0a4e-9040-4002-bbdc-48bff1a2c87f  Still_avaliable  L1-1038482Z
1085        1085                                         Grey Crystal Marble Cushion         £8.00       0.14            homeware       233943562308 1998-11-04  3394de7a-e2a9-49e3-95af-156ae76cbaf9  Still_avaliable  k9-6288204j
1310        1310                Roma Brushed Herringbone Double Duvet Set - Charcoal        £20.00        1.1            homeware      6714000040914 1998-11-09  a0fbe905-dd38-4f90-b6e2-513789a09921  Still_avaliable  R1-7779364B
734          734       Colorado Hopsack Fully Lined Eyelet Curtain 66 x 72" - Silver        £29.99        2.2            homeware      4657576886550 1998-11-13  4bb1d4f6-5e6a-421c-8566-9c780288ec4c  Still_avaliable  L4-0025616d
1564        1564                    Skin Techniques Hydrogel Eye Mask 3pk - Lavender         £1.00      0.004   health-and-beauty      2634166709170 1998-11-24  c50ae2b6-8b2b-480c-9681-b3a32a186833  Still_avaliable  t3-6328262l
154          154                  LEGO Avatar Jake & Neytiri££s First Banshee Flight        £29.99       0.72      toys-and-games      3848935566607 1998-11-25  c02666b1-a4b0-4aa7-b1da-542e3990ae3d  Still_avaliable  m3-2511819C
338          338                       POW Grillers Flame Grilled Style - Drumsticks         £2.69      0.115                pets      8409278212719 1998-11-30  d2534a3b-5792-4d41-bb26-f01614224d32  Still_avaliable  M4-3981881r
1631        1631                      The Natural Confectionery Co Juicy Snakes 130g         £1.00       0.13      food-and-drink      1502016078831 1998-12-05  9a59b8ef-b217-4029-b2cb-9d35931dbc9e  Still_avaliable  X3-7066117e
659          659                                            Dried Flower Arrangement         £8.00        0.6            homeware      5990337579964 1998-12-15  8c4428ea-667b-414c-b2e0-9a64bcf81bd1  Still_avaliable  f4-3814039X
807          807                      Lokken Tall 4 Cube Storage Unit with 2 Baskets        £25.00       11.0            homeware      4619465928963 1998-12-15  2c9cd785-9ebb-41b4-9ab3-a6e1c42cc6a1  Still_avaliable  A8-5051604G
334          334                             POW Jumbo Twists with Meaty Outer Layer         £2.50      0.128                pets      7272796150211 1998-12-23  946a3d20-c957-40f0-b02e-c5c8b68980da          Removed  b3-7941371D
518          518                                       Cotton Waffle Cushion - Green        £10.00        0.2            homeware      5789515485209 1998-12-24  be70bc2d-3592-452e-9017-7f95741a2c34  Still_avaliable   f6-783975X
1540        1540                                          Pink Wand Bath Fizzer 500g         £1.99        0.5   health-and-beauty      5359063905254 1999-01-09  72ea1e62-d94b-46f1-a18c-c494d677ea9f  Still_avaliable  w2-1789231G
406          406                            Lokken 6 Cube Basket Storage Shelf - Oak        £38.00       13.7            homeware      5434906873980 1999-02-10  912f7935-ae5b-4744-9bba-cb697690fe58  Still_avaliable   j2-715203L
279          279                                          Disney Princess Artist Pad         £2.99       0.48  sports-and-leisure      3902877931623 1999-02-17  395e5849-5106-4196-b59e-7e684f75e563  Still_avaliable  m0-0281207X
1188        1188                                              Tromso Shelf with Rail        £10.00        1.9            homeware      8711406887998 1999-03-05  94d6a226-a697-49a0-bec4-cad945f916a7  Still_avaliable   U2-180136A
498          498                      Alba Natural Home Geo King Duvet Set with Pipe        £17.00       1.59            homeware      9499320386771 1999-03-11  67e2e45d-b5f4-4cbc-a97c-71385f6c764e  Still_avaliable  K1-3066987z
1529        1529                     Gatsby Foil Micro Plush Rug 100 x 150cm - Blush        £20.00       1.76            homeware      1302238769032 1999-03-27  30e764ce-b51e-454d-9ffd-68a241e0fefe  Still_avaliable  x6-9994287R
113          113                                              Harry Potter Terrarium        £11.99        0.8      toys-and-games      3897523595413 1999-04-09  146dcdbb-66c8-4935-8f81-dcd01c55a675  Still_avaliable  g6-0313456t
937          937                                               Michigan Ladder Shelf        £45.00       10.7            homeware      4232301129128 1999-04-24  21e32e7f-0c9e-4ca2-8ce3-f95d6ac6303c  Still_avaliable  y9-9798544r
1238        1238                                   Preserved Eucalyptus in Glass Jar        £12.00        0.8            homeware       214445914680 1999-04-28  7b915624-e1c3-4eb4-bc07-0a83e8cd6a7d  Still_avaliable   K7-593551t
1686        1686                                          PEK Chopped Pork Gold 170g         £1.25       0.17      food-and-drink      4160949487709 1999-05-12  f10ec9e0-2d9b-4f7f-b464-a411751fa499  Still_avaliable  s7-9532686I
66            66                   WWE Wrestlemania Superstar Ring & Figures Playset        £29.99        0.5      toys-and-games      4538124293191 1999-05-12  297807ba-49e7-4c6c-9a01-314fe3c11b92  Still_avaliable  n9-3534053i
532          532                    Woodland Nature Stag Candle - Sandalwood & Tonka         £5.00       0.23            homeware      9816234436086 1999-05-14  bf0b5da3-12da-4343-8a44-29e29f0cdb7b  Still_avaliable  z6-4917078y
84            84                                                   Zuru X Shot Chaos        £12.99       0.66      toys-and-games      1930767762165 1999-05-26  5e221910-1eef-4504-b537-9780fc6253c9  Still_avaliable   j5-153373x
1577        1577                                Warburtons Thickest White Bread 800g         £1.25        0.8      food-and-drink      2279509042240 1999-05-27  fe487fed-18a5-4e95-be88-0f0606b61d81  Still_avaliable  A7-7326787b
1719        1719                                              Dynamite Hot Sauce 5pk         £5.00      0.225      food-and-drink      9996110250187 1999-05-31  5646fb77-aa1f-41db-b04b-9625b58c4f53  Still_avaliable  L3-0341533H
262          262                          Play-Doh Mountain of Colours Play Set 20pc        £12.99       1.84  sports-and-leisure      7907809865522 1999-06-03  fd818f19-a714-4832-a1f8-5549663d34df  Still_avaliable  h4-7858371J
143          143                                     Ultimate Etch Art Creations Set        £12.99        1.3      toys-and-games      9823872409457 1999-06-03  9399b354-dd8f-470c-8d92-24254c1307ac  Still_avaliable  S2-7206822M
474          474                     Fleur Green Double Duvet Set with Contrast Pipe        £15.00        1.2            homeware      8747240532091 1999-06-12  db43c44d-b42f-42c7-bd71-cc6dc2f2ea1a  Still_avaliable  V2-1615331d
1126        1126                                                   Hedgehog Ornament         £6.00       0.36            homeware      5068664481776 1999-06-17  45afd7d7-184d-4267-ab59-0b71dab2ff77  Still_avaliable  H4-2543183p
46            46                                                 Mega Baff Pack 12pk        £12.99       1.35      toys-and-games      9539179880690 1999-06-18  e61181a5-2885-4fbd-a03c-50bbfbf6afb3          Removed  i7-2575230x
1417        1417                                                  Cane Magazine Rack         £9.00       0.44            homeware      5175937432752 1999-06-19  0663e79d-5066-4268-a6be-85c2fbaae39e  Still_avaliable  m5-2735440f
629          629                                              Harmony Door Knobs 4pk         £6.00      0.014            homeware      5321541874871 1999-06-20  8c3722cb-a9b2-4b3a-b9b2-170bcf5dae6b  Still_avaliable  f0-6584921F
1726        1726                                           Grand Ferrero Rocher 125g         £3.99      0.125      food-and-drink      5981371995261 1999-06-30  b71ba20b-9382-4ad4-86ef-5deb8982aeea  Still_avaliable  w8-3118041v
851          851                                  Michigan 3 Piece Breakfast Bar Set        £50.00       15.8            homeware      2564788037231 1999-08-12  4f8968bd-2b82-4b2c-8141-dea54d3c2904  Still_avaliable  b7-2776614D
1299        1299                                Evie King Duvet Set with Ties - Grey        £25.00       1.85            homeware      3323575357513 1999-08-17  0beb1b90-4f9b-44e4-8130-1a72d6086879  Still_avaliable   i8-125373y
155          155                LEGO Avatar Neytiri & Thanator vs. AMP Suit Quaritch        £27.99       0.58      toys-and-games      8181228422958 1999-08-17  2a636f51-8b07-4bbd-892c-774073aa7676  Still_avaliable  u8-0387560z
280          280                                              Toy Story 4 Artist Pad         £2.99       0.48  sports-and-leisure      1843922412129 1999-08-26  13fcd6a9-88e5-486b-9030-0a561573380d  Still_avaliable  s5-3221682A
1408        1408     Natural Home Scented Candle with Cork Lid - Vanilla & Cedarwood         £3.00      0.226            homeware      6661158612374 1999-08-26  75fafc27-db32-4342-90ba-5652003100ad  Still_avaliable  b5-4573021s
1288        1288                                       Esme Natural Double Duvet Set        £22.00       1.78            homeware      8636005865522 1999-08-28  4dfce556-3825-4822-ab2d-f592112a180a  Still_avaliable  y1-4157938k
1114        1114                                           Black Matches in A Bottle         £4.00      0.475            homeware      7838579285992 1999-09-12  558519a6-38d9-4603-9dc5-89869fbb48ae  Still_avaliable   h8-285252O
93            93                          Kaleidoscope Sticker Mosaics - Neon Nature         £3.00      0.418      toys-and-games      5830884032997 1999-10-01  0663061c-7b5d-4402-8801-cc86de4b01b4  Still_avaliable  N2-1953796y
621          621                                                     Moon Oil Burner         £4.00       0.34            homeware      6952461025198 1999-10-06  594960c3-18d6-4cd8-b256-1ff6cd985455  Still_avaliable  u6-5438021b
500          500                         Coco Stripe Jacquard King Duvet Set - Green        £30.00       2.29            homeware      9835642922592 1999-10-10  d665f2c2-1171-493a-baf3-c338bc819728  Still_avaliable  N0-8737467X
916          916                      Geo Embossed Microplush Rug 60 x 110cm - Blush        £10.00       0.52            homeware       909423173080 1999-10-21  774df6e6-0781-4f94-86c6-8b663058fbf7  Still_avaliable   t3-093984L
514          514                                        Lara Double Duvet Set - Sage        £20.00       1.55            homeware      8244570918002 1999-10-25  f9a0a586-b24d-4484-8574-e7e387c03cd8  Still_avaliable  j5-8304949c
1027        1027                                           Ivy Woven Cushion - Cream        £12.00       0.26            homeware      1183761511578 1999-11-03  dfa2338f-7d62-4ea6-b40a-964dcb2a4faf          Removed  M8-7038375X
919          919                                  Micro Plush Rug 60 x 110cm - Blush         £9.99       0.52            homeware      4147923662857 1999-11-09  aa807e81-9dee-4c9e-8aa6-2f43eac41b0c  Still_avaliable  u6-0777152D
462          462                                                Aspen Cushion - Sage        £10.00      0.296            homeware      2738406464406 1999-11-28  4564bf13-b002-4ac7-9957-c4b0c812b75c  Still_avaliable  I8-9138588j
1044        1044                                    Pleated Cushion 48 x 48cm - Navy         £8.00       0.77            homeware      4438411365375 1999-12-09  32673ae8-1be8-4dbc-b2b4-9f8932aa4856  Still_avaliable  F2-5429720X
1672        1672                                    Nescafe Original Extraforte 230g         £3.29       0.23      food-and-drink      6797182763802 1999-12-16  36f17754-ef6b-46d0-a438-0b61c5ae09de  Still_avaliable  i8-6928364B
463          463                                      Aspen Faux Fur Cushion - Green        £10.00      0.296            homeware      2215368486443 2000-01-16  8f87c522-b04e-4583-87a4-2dcfd9613e2f  Still_avaliable  Q7-4703869v
1746        1746                                          Matchmakers Honeycomb 120g         £1.25       0.12      food-and-drink      4944957122902 2000-01-18  aec9c2ee-259e-4f4d-b0f5-d3d5aa5778a6  Still_avaliable  W9-1799373p
34            34                                       Remote Control Robot Football        £30.00      1.447      toys-and-games      3000722325839 2000-01-20  180b7a60-f88a-474e-ba31-ee9a654aa152  Still_avaliable  o0-4016167t
297          297                                 Hobby World Ultimate Brush Set 20pc         £2.50      0.087  sports-and-leisure      8476417379572 2000-01-27  d0c688a7-16cc-4b45-9249-6ae996e8f0c3  Still_avaliable  K2-5278453r
530          530                       Woodland Nature Berry Candle - Silver Glitter         £7.00       0.28            homeware      9220337338046 2000-02-13  bef53da1-5724-43f0-a6de-230af3b49519  Still_avaliable  S4-3079590Q
64            64                                          Super Slingshot Arena Game        £12.99       0.33      toys-and-games      2094033869435 2000-03-25  dd3d00b7-8139-42cb-b97b-6722f7218d6c  Still_avaliable  q0-9351840W
604          604                                Silentnight Firm Support Pillows 2pk        £16.00       1.44            homeware      4924791959285 2000-03-26  7f6c5130-2285-458a-b6d1-64979d1366e9  Still_avaliable   k8-428297X
549          549                                              Antler Tealight Holder         £8.00       0.38            homeware      2855243098981 2000-04-03  e171ea47-dc42-421b-b7be-de3815e693dd  Still_avaliable  x2-3285608E
19            19                                                    My Crawling Bear        £12.99      0.322      toys-and-games       159264905771 2000-04-19  c5189222-d270-44c5-8b9b-5598378c7dcc  Still_avaliable    w1-22434p
680          680                                                  Black Ceramic Vase         £8.00       0.65            homeware      5135514774897 2000-05-10  7912c4d5-0c6c-4edd-9921-4e7eb01e12b3  Still_avaliable  I3-4978892l
1454        1454                      Cambridge Blackout Panel 54 x 86" - Dark Green        £15.00        0.8            homeware      1356242164734 2000-05-15  aa3a95eb-63f3-4f69-a545-72cc7c1d7cbb  Still_avaliable  K9-7282964g
1254        1254                                                    Matte Black Vase         £8.00      0.936            homeware      5540426679060 2000-05-18  c9eec8f9-c8b7-484b-92f7-aa5f59d31362  Still_avaliable  z0-9267572U
783          783                      Really Useful Nestable Storage Boxes 23.5L 3pk        £34.00        5.0            homeware      2219928426986 2000-06-04  63e4e0dc-3d50-4314-8fd1-7ae953f33b86  Still_avaliable  r2-7003477Y
1206        1206                       Lokken 9 Cube Shelving Unit & Baskets - White        £50.00       19.8            homeware      5281710502519 2000-06-17  8246c361-8d6e-47c6-986b-0916379a509a  Still_avaliable  E9-5503322P
